annee,nombre_naissances,nombre_deces,jeu_de_donnees,code_insee,commune,trigram,code_postal
2018,6,7,GEO2020RFD2018,38533,Venon,VEN,38610,
2017,6,3,GEO2020RFD2017,38533,Venon,VEN,38610,
2016,6,8,GEO2020RFD2016,38533,Venon,VEN,38610,
2015,4,1,GEO2020RFD2015,38533,Venon,VEN,38610,
2014,4,0,RFD2014,38533,Venon,VEN,38610,
2013,4,6,RFD2013,38533,Venon,VEN,38610,
2012,5,4,RFD2012,38533,Venon,VEN,38610,
2011,3,8,RFD2011,38533,Venon,VEN,38610,
2010,11,2,RFD2010,38533,Venon,VEN,38610,
2009,4,3,RFD2009,38533,Venon,VEN,38610,
2008,7,3,RFD2008,38533,Venon,VEN,38610,
2007,4,2,RFD2007,38533,Venon,VEN,38610,
2019,132,89,GEO2020RFD2019,38317,Le Pont-de-Claix,PDC,38800,
2018,157,69,GEO2020RFD2018,38317,Le Pont-de-Claix,PDC,38800,
2017,142,85,GEO2020RFD2017,38317,Le Pont-de-Claix,PDC,38800,
2016,146,82,GEO2020RFD2016,38317,Le Pont-de-Claix,PDC,38800,
2015,161,83,GEO2020RFD2015,38317,Le Pont-de-Claix,PDC,38800,
2014,164,90,RFD2014,38317,Le Pont-de-Claix,PDC,38800,
2013,180,78,RFD2013,38317,Le Pont-de-Claix,PDC,38800,
2012,186,72,RFD2012,38317,Le Pont-de-Claix,PDC,38800,
2011,170,63,RFD2011,38317,Le Pont-de-Claix,PDC,38800,
2010,162,71,RFD2010,38317,Le Pont-de-Claix,PDC,38800,
2009,193,70,RFD2009,38317,Le Pont-de-Claix,PDC,38800,
2008,155,74,RFD2008,38317,Le Pont-de-Claix,PDC,38800,
2007,205,67,RFD2007,38317,Le Pont-de-Claix,PDC,38800
